KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-06-12,5.028,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-06-13,5.033,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-06-16,5.025,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-06-17,5.028,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-06-18,5.0302,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-06-19,5.0304,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-06-20,5.0303,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-06-23,5.0451,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-06-24,5.0487,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-06-25,5.0582,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-06-26,5.0718,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-06-27,5.0816,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-06-30,5.0785,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-07-01,5.0738,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
